,cpdr_provenience_nation
Italy,64
Egypt,35
Cambodia,32
Iraq,31
China,30
Turkey,17
Nigeria,17
Greece,14
Thailand,13
India,13
Mexico,11
SouthKorea,9
Cyprus,9
Japan,9
Nepal,9
Kenya,9
Romania,6
Peru,5
Russia,5
Vietnam,5
Guatemala,4
Iran,4
Afghanistan,4
France,4
Poland,4
Netherlands,3
Germany,3
Bolivia,3
United States Tribal Nations,3
Ecuador,3
NewZealand,3
Ethiopia,2
Benin,2
Australia,2
Yemen,2
UnitedStates,2
Bulgaria,2
Syria,1
Democratic Republic of the Congo,1
Ghana,1
Chile,1
Lebanon,1
Armenia,1
Palestine,1
Cameroon,1
Mali,1
Greenland,1
Hungary,1
Namibia,1
Spain,1
Canada,1
Algeria,1
SouthAfrica,1
Congo(Kinshasa),1
Indonesia,1
Panama,1
