object,type_count
Statue,41
Sculpture,26
Vessel,24
Painting,13
Stele,9
Weapon,9
Manuscript,8
Religious Icon,7
Food/Drink Container,6
Plaque or Tablet,6
Coin,4
Jewelry,4
Textile,4
Figurine,4
Book,4
Mask,4
Sphinx,4
Vase,4
Funerary Object,3
Mosaic,3
Strut,3
Seal,3
Relief,3
Timepiece,2
Music Score,2
Cylinder Seal,2
Tool,2
Weight,1
Panel,1
Belt,1
Throne,1
Storage container,1
Cutlery,1
Totem Pole,1
Column,1
Necklace,1
Shield,1
Fresco,1
Firearm,1
Print,1
Game,1
Armor,1
Mural,1
Tombstone,1
Gemstone,1
Window,1
